imdbID,Genre,Title,Year,image_path
tt0094947,"Drama, Romance",Dangerous Liaisons,24 Feb 1989,../dataset/images/tt0094947.jpg
tt0095647,"Crime, Drama, Mystery",Mississippi Burning,27 Jan 1989,../dataset/images/tt0095647.jpg
tt0094862,"Fantasy, Horror",Child's Play,09 Nov 1988,../dataset/images/tt0094862.jpg
tt0094606,"Drama, Romance",The Accidental Tourist,06 Jan 1989,../dataset/images/tt0094606.jpg
tt0094608,"Crime, Drama",The Accused,14 Oct 1988,../dataset/images/tt0094608.jpg
tt0096098,"Action, Adventure, Crime",Shoot to Kill,12 Feb 1988,../dataset/images/tt0096098.jpg
tt0095107,"Comedy, Family, Fantasy",Ernest Saves Christmas,11 Nov 1988,../dataset/images/tt0095107.jpg
tt0094731,"Action, Drama, Romance",Betrayed,26 Aug 1988,../dataset/images/tt0094731.jpg
tt0095188,"Comedy, Drama",Funny Farm,03 Jun 1988,../dataset/images/tt0095188.jpg
tt0094631,"Action, Crime, Sci-Fi",Alien Nation,07 Oct 1988,../dataset/images/tt0094631.jpg
tt0095243,"Biography, Drama",Gorillas in the Mist,07 Oct 1988,../dataset/images/tt0095243.jpg
tt0095519,Comedy,License to Drive,06 Jul 1988,../dataset/images/tt0095519.jpg
tt0096101,"Comedy, Drama, Family",Short Circuit 2,06 Jul 1988,../dataset/images/tt0096101.jpg
tt0095593,"Comedy, Crime, Romance",Married to the Mob,19 Aug 1988,../dataset/images/tt0095593.jpg
tt0095927,"Comedy, Drama, Romance",Punchline,07 Oct 1988,../dataset/images/tt0095927.jpg
tt0095897,"Action, Crime, Mystery",The Presidio,10 Jun 1988,../dataset/images/tt0095897.jpg
tt0094612,"Action, Comedy, Crime",Action Jackson,12 Feb 1988,../dataset/images/tt0094612.jpg
tt0096316,"Biography, Drama",Tucker: The Man and His Dream,12 Aug 1988,../dataset/images/tt0096316.jpg
tt0096071,"Fantasy, Horror",The Serpent and the Rainbow,05 Feb 1988,../dataset/images/tt0096071.jpg
tt0095882,"Comedy, Crime",Police Academy 5: Assignment: Miami Beach,18 Mar 1988,../dataset/images/tt0095882.jpg
tt0095179,Horror,Friday the 13th Part VII: The New Blood,13 May 1988,../dataset/images/tt0095179.jpg
tt0094890,"Adventure, Comedy, Mystery",Cocoon: The Return,23 Nov 1988,../dataset/images/tt0094890.jpg
tt0096073,"Drama, Fantasy, Horror",The Seventh Sign,01 Apr 1988,../dataset/images/tt0096073.jpg
tt0094602,"Action, Crime, Drama",Above the Law,22 Apr 1988,../dataset/images/tt0094602.jpg
tt0095271,"Horror, Thriller",Halloween 4: The Return of Michael Myers,21 Oct 1988,../dataset/images/tt0095271.jpg
tt0095174,"Crime, Drama, Mystery",Frantic,26 Feb 1988,../dataset/images/tt0095174.jpg
tt0095409,"Comedy, Sport",Johnny Be Good,25 Mar 1988,../dataset/images/tt0095409.jpg
tt0095169,"Comedy, Drama, Romance",For Keeps?,15 Jan 1988,../dataset/images/tt0095169.jpg
tt0094921,"Comedy, Romance",Crossing Delancey,16 Sep 1988,../dataset/images/tt0094921.jpg
tt0094799,Drama,"Bright Lights, Big City",01 Apr 1988,../dataset/images/tt0094799.jpg
tt0096094,"Comedy, Drama, Romance",She's Having a Baby,05 Feb 1988,../dataset/images/tt0096094.jpg
tt0095599,"Crime, Drama, Romance",Masquerade,11 Mar 1988,../dataset/images/tt0095599.jpg
tt0094744,"Adventure, Comedy, Romance",Big Top Pee-wee,22 Jul 1988,../dataset/images/tt0094744.jpg
tt0094678,"Comedy, Romance",Arthur 2: On the Rocks,08 Jul 1988,../dataset/images/tt0094678.jpg
tt0096054,"Comedy, Drama, Musical",School Daze,12 Feb 1988,../dataset/images/tt0096054.jpg
tt0095889,"Horror, Thriller",Poltergeist III,10 Jun 1988,../dataset/images/tt0095889.jpg
tt0094027,Drama,Stand and Deliver,11 Mar 1988,../dataset/images/tt0094027.jpg
tt0095687,"Comedy, Sci-Fi",My Stepmother Is an Alien,09 Dec 1988,../dataset/images/tt0095687.jpg
tt0095638,"Comedy, Fantasy, Drama",The Milagro Beanfield War,18 Mar 1988,../dataset/images/tt0095638.jpg
tt0095993,"Adventure, Drama, Western",Return to Snowy River,15 Apr 1988,../dataset/images/tt0095993.jpg
tt0096380,"Comedy, Fantasy",Vice Versa,11 Mar 1988,../dataset/images/tt0096380.jpg
tt0095348,"Action, Comedy",I'm Gonna Git You Sucka,23 Feb 1989,../dataset/images/tt0095348.jpg
tt0096256,"Action, Horror, Sci-Fi",They Live,04 Nov 1988,../dataset/images/tt0096256.jpg
tt0095690,"Comedy, Drama, Romance",Mystic Pizza,21 Oct 1988,../dataset/images/tt0095690.jpg
tt0094933,"Mystery, Thriller",D.O.A.,18 Mar 1988,../dataset/images/tt0094933.jpg
tt0095119,"Drama, Romance, Sport",Everybody's All-American,04 Nov 1988,../dataset/images/tt0095119.jpg
tt0094846,Comedy,Casual Sex?,22 Apr 1988,../dataset/images/tt0094846.jpg
tt0095294,"Horror, Thriller",Hellbound: Hellraiser II,23 Dec 1988,../dataset/images/tt0095294.jpg
tt0092675,"Action, Biography, Drama",Bloodsport,29 Apr 1988,../dataset/images/tt0092675.jpg
tt0094824,"Comedy, Sport",Caddyshack II,22 Jul 1988,../dataset/images/tt0094824.jpg
tt0095654,"Comedy, Romance",Moon Over Parador,09 Sep 1988,../dataset/images/tt0095654.jpg
tt0094910,Comedy,The Couch Trip,15 Jan 1988,../dataset/images/tt0094910.jpg
tt0095662,Comedy,Moving,04 Mar 1988,../dataset/images/tt0095662.jpg
tt0095382,"Action, Drama, Romance",Iron Eagle II,11 Nov 1988,../dataset/images/tt0095382.jpg
tt0096087,"Action, Crime, Drama",Shakedown,06 May 1988,../dataset/images/tt0096087.jpg
tt0096332,"Drama, Romance",The Unbearable Lightness of Being,05 Feb 1988,../dataset/images/tt0096332.jpg
tt0094701,"Horror, Thriller",Bad Dreams,08 Apr 1988,../dataset/images/tt0094701.jpg
tt0096203,"Comedy, Crime",Switching Channels,04 Mar 1988,../dataset/images/tt0096203.jpg
tt0094884,Drama,Clean and Sober,10 Aug 1988,../dataset/images/tt0094884.jpg
tt0096328,"Documentary, Music",U2: Rattle and Hum,04 Nov 1988,../dataset/images/tt0096328.jpg
tt0095304,"Comedy, Fantasy, Horror",High Spirits,18 Nov 1988,../dataset/images/tt0095304.jpg
tt0096454,"Comedy, Crime, Mystery",Without a Clue,21 Oct 1988,../dataset/images/tt0096454.jpg
tt0095497,Drama,The Last Temptation of Christ,22 Sep 1988,../dataset/images/tt0095497.jpg
tt0096037,"Comedy, Music, Romance",Satisfaction,12 Feb 1988,../dataset/images/tt0096037.jpg
tt0094761,"Action, Horror, Sci-Fi",The Blob,05 Aug 1988,../dataset/images/tt0094761.jpg
tt0094964,"Drama, Thriller",Dead Ringers,23 Sep 1988,../dataset/images/tt0094964.jpg
tt0095726,Comedy,A New Life,25 Mar 1988,../dataset/images/tt0095726.jpg
tt0096171,"Drama, Romance, Sport",Stealing Home,26 Aug 1988,../dataset/images/tt0096171.jpg
tt0095863,"Action, Fantasy, Horror",Phantasm II,08 Jul 1988,../dataset/images/tt0095863.jpg
tt0095774,"Action, Thriller, War",Off Limits,11 Mar 1988,../dataset/images/tt0095774.jpg
tt0095675,"Comedy, Drama",Women on the Verge of a Nervous Breakdown,11 Nov 1988,../dataset/images/tt0095675.jpg
tt0095178,Drama,Fresh Horses,18 Nov 1988,../dataset/images/tt0095178.jpg
tt0095326,"Comedy, Fantasy",Hot to Trot,26 Aug 1988,../dataset/images/tt0095326.jpg
tt0095560,"Adventure, Family, Fantasy",Mac and Me,12 Aug 1988,../dataset/images/tt0095560.jpg
tt0096340,Horror,The Unholy,22 Apr 1988,../dataset/images/tt0096340.jpg
tt0095736,"Comedy, Drama, Romance",A Night in the Life of Jimmy Reardon,26 Feb 1988,../dataset/images/tt0095736.jpg
tt0094792,"Action, War",Braddock: Missing in Action III,22 Jan 1988,../dataset/images/tt0094792.jpg
tt0094594,"Drama, War",1969,18 Nov 1988,../dataset/images/tt0094594.jpg
tt0095981,"Action, Adventure, Drama",The Rescue,05 Aug 1988,../dataset/images/tt0095981.jpg
tt0095082,"Drama, History, Sport",Eight Men Out,02 Sep 1988,../dataset/images/tt0095082.jpg
tt0095088,"Comedy, Horror",Elvira: Mistress of the Dark,30 Sep 1988,../dataset/images/tt0095088.jpg
tt0095288,"Comedy, Musical, Romance",Heartbreak Hotel,30 Sep 1988,../dataset/images/tt0095288.jpg
tt0095652,"Drama, Horror, Sci-Fi",Monkey Shines,29 Jul 1988,../dataset/images/tt0095652.jpg
tt0095296,"Action, Crime, Drama",Hero and the Terror,26 Aug 1988,../dataset/images/tt0095296.jpg
tt0094882,Drama,Clara's Heart,07 Oct 1988,../dataset/images/tt0094882.jpg
tt0096289,"Comedy, Drama, Romance",Torch Song Trilogy,14 Dec 1988,../dataset/images/tt0096289.jpg
tt0095238,"Drama, Romance",The Good Mother,04 Nov 1988,../dataset/images/tt0095238.jpg
tt0096193,"Crime, Mystery, Thriller",Sunset,29 Apr 1988,../dataset/images/tt0096193.jpg
tt0094712,"Drama, War",Bat*21,21 Oct 1988,../dataset/images/tt0094712.jpg
tt0095613,"Comedy, Drama",Memories of Me,07 Oct 1988,../dataset/images/tt0095613.jpg
tt0095145,"Comedy, Crime",Feds,28 Oct 1988,../dataset/images/tt0095145.jpg
tt0096200,"Comedy, Drama, Romance",Sweet Hearts Dance,23 Sep 1988,../dataset/images/tt0096200.jpg
tt0095360,"Documentary, Biography, Music",Imagine: John Lennon,07 Oct 1988,../dataset/images/tt0095360.jpg
tt0094961,"Action, Comedy, Horror",Dead Heat,29 Jun 1988,../dataset/images/tt0094961.jpg
tt0096291,"Crime, Drama, Music",Tougher Than Leather,16 Sep 1988,../dataset/images/tt0096291.jpg
tt0093744,"Family, Adventure, Fantasy",The New Adventures of Pippi Longstocking,29 Jul 1988,../dataset/images/tt0093744.jpg
tt0095564,"Drama, Music",Madame Sousatzka,14 Oct 1988,../dataset/images/tt0095564.jpg
tt0096259,"Comedy, Crime, Drama",Things Change,21 Oct 1988,../dataset/images/tt0096259.jpg
tt0095250,"Action, Adventure, Drama",The Big Blue,19 Aug 1988,../dataset/images/tt0095250.jpg
tt0096219,Drama,Talk Radio,13 Jan 1989,../dataset/images/tt0096219.jpg
tt0095925,"Fantasy, Horror",Pumpkinhead,13 Jan 1989,../dataset/images/tt0095925.jpg
tt0095050,Drama,Dominick and Eugene,13 Oct 1988,../dataset/images/tt0095050.jpg
tt0095626,"Action, Crime, Thriller",Messenger of Death,21 Oct 1988,../dataset/images/tt0095626.jpg
tt0094593,"Comedy, Fantasy, Romance",18 Again!,08 Apr 1988,../dataset/images/tt0094593.jpg
tt0095428,"Crime, Drama, Romance",Kansas,23 Sep 1988,../dataset/images/tt0095428.jpg
tt0096464,Drama,A World Apart,17 Jun 1988,../dataset/images/tt0096464.jpg
tt0094747,"Biography, Drama, Music",Bird,30 Sep 1988,../dataset/images/tt0094747.jpg
tt0096028,"Crime, Drama",Salaam Bombay!,07 Oct 1988,../dataset/images/tt0096028.jpg
tt0095649,"Comedy, Drama, Romance",The Moderns,01 May 1988,../dataset/images/tt0095649.jpg
tt0095853,"Drama, Music, Romance",Permanent Record,22 Apr 1988,../dataset/images/tt0095853.jpg
tt0096378,"Adventure, Comedy, Romance",Vibes,05 Aug 1988,../dataset/images/tt0096378.jpg
tt0095454,"Drama, Fantasy, Horror",The Kiss,14 Oct 1988,../dataset/images/tt0095454.jpg
tt0096180,"Crime, Drama, Music",Stormy Monday,01 May 1988,../dataset/images/tt0096180.jpg
tt0095532,"Drama, Thriller",Little Nikita,18 Mar 1988,../dataset/images/tt0095532.jpg
tt0095484,"Fantasy, Horror, Mystery",Lady in White,22 Apr 1988,../dataset/images/tt0095484.jpg
tt0094663,Drama,Another Woman,18 Nov 1988,../dataset/images/tt0094663.jpg
tt0095274,"Drama, Romance",A Handful of Dust,24 Jun 1988,../dataset/images/tt0095274.jpg
tt0096324,"Drama, Romance",Two Moon Junction,29 Apr 1988,../dataset/images/tt0096324.jpg
tt0095827,Drama,Pascali's Island,01 Aug 1988,../dataset/images/tt0095827.jpg
tt0095877,"War, Drama",Platoon Leader,01 Oct 1988,../dataset/images/tt0095877.jpg
tt0095629,"Mystery, Thriller",Midnight Crossing,24 Mar 1989,../dataset/images/tt0095629.jpg
tt0095836,"Biography, Drama",Patty Hearst,23 Sep 1988,../dataset/images/tt0095836.jpg
tt0095665,"Comedy, Drama",Mr. North,22 Jul 1988,../dataset/images/tt0095665.jpg
tt0096271,"Drama, War",A Time of Destiny,22 Apr 1988,../dataset/images/tt0096271.jpg
tt0096257,"Documentary, Crime, Drama",The Thin Blue Line,25 Aug 1988,../dataset/images/tt0096257.jpg
tt0095488,"Comedy, Horror",The Lair of the White Worm,21 Oct 1988,../dataset/images/tt0095488.jpg
tt0096466,Comedy,The Wrong Guys,13 May 1988,../dataset/images/tt0096466.jpg
tt0094669,"Crime, Drama, Mystery",Appointment with Death,27 Apr 1988,../dataset/images/tt0094669.jpg
tt0096425,"Action, Horror, Sci-Fi",Watchers,02 Dec 1988,../dataset/images/tt0096425.jpg
tt0096426,"Comedy, Horror",Waxwork,17 Jun 1988,../dataset/images/tt0096426.jpg
tt0094783,"Drama, Romance",The Boost,23 Dec 1988,../dataset/images/tt0094783.jpg
tt0092559,"Comedy, Drama, Romance",And God Created Woman,04 Mar 1988,../dataset/images/tt0092559.jpg
tt0096161,"Action, Drama",Split Decisions,11 Nov 1988,../dataset/images/tt0096161.jpg
tt0095583,"Action, Crime, Horror",Maniac Cop,13 May 1988,../dataset/images/tt0095583.jpg
tt0096152,"Drama, Horror, Romance",Spellbinder,23 Sep 1988,../dataset/images/tt0096152.jpg
tt0094934,"Drama, Fantasy",Da,01 Jul 1988,../dataset/images/tt0094934.jpg
tt0096156,"Comedy, Drama",Spike of Bensonhurst,11 Nov 1988,../dataset/images/tt0096156.jpg
tt0096236,"Action, Comedy, Crime",Tiger Cage,28 Jul 1988,../dataset/images/tt0096236.jpg
tt0095895,"Documentary, Music",Powaqqatsi,30 Sep 1988,../dataset/images/tt0095895.jpg
tt0095894,"Animation, Comedy, Family",Pound Puppies and the Legend of Big Paw,18 Mar 1988,../dataset/images/tt0095894.jpg
tt0094819,"Adventure, Biography, Comedy",Buster,23 Nov 1988,../dataset/images/tt0094819.jpg
tt0095333,"Drama, Thriller",The House on Carroll Street,04 Mar 1988,../dataset/images/tt0095333.jpg
tt0095186,"Comedy, Drama, Romance",Full Moon in Blue Water,23 Nov 1988,../dataset/images/tt0095186.jpg
tt0096294,"Drama, Mystery",Track 29,12 Jul 1988,../dataset/images/tt0096294.jpg
tt0096267,Drama,Tiger Warsaw,12 May 1988,../dataset/images/tt0096267.jpg
tt0094637,"Comedy, Drama",Aloha Summer,26 Feb 1988,../dataset/images/tt0094637.jpg
tt0098356,"Comedy, Drama, Romance",Some Girls,09 Sep 1988,../dataset/images/tt0098356.jpg
tt0094980,"Documentary, Music",The Decline of Western Civilization Part II: The Metal Years,24 Aug 1989,../dataset/images/tt0094980.jpg
tt0346962,Documentary,The Family Album,01 Jan 1988,../dataset/images/tt0346962.jpg
tt0094979,"Adventure, Drama, Thriller",The Deceivers,02 Sep 1988,../dataset/images/tt0094979.jpg
tt0096223,"Comedy, Music",Tapeheads,21 Oct 1988,../dataset/images/tt0096223.jpg
tt0094869,Drama,The Chocolate War,18 Nov 1988,../dataset/images/tt0094869.jpg
tt0095357,Comedy,Illegally Yours,13 May 1988,../dataset/images/tt0095357.jpg
tt0094827,"Drama, Thriller",Call Me,03 Jun 1989,../dataset/images/tt0094827.jpg
tt0093558,"Documentary, Comedy, Music",Mondo New York,21 Sep 1989,../dataset/images/tt0093558.jpg
tt0095640,"Action, Crime, Drama",Miles from Home,16 Sep 1988,../dataset/images/tt0095640.jpg
tt0096003,Drama,Rocket Gibraltar,02 Sep 1988,../dataset/images/tt0096003.jpg
tt0096072,"Action, Crime, Drama",Seven Hours to Judgment,16 Sep 1988,../dataset/images/tt0096072.jpg
tt0094768,"Action, Comedy, Mystery",The Blue Iguana,22 Apr 1988,../dataset/images/tt0094768.jpg
tt0094716,War,The Beast of War,07 Sep 1988,../dataset/images/tt0094716.jpg
tt0096211,"Action, Thriller",Taffin,26 Feb 1988,../dataset/images/tt0096211.jpg
tt0098048,"Action, Fantasy, Sci-Fi",Gor II,21 Mar 1989,../dataset/images/tt0098048.jpg
tt0095036,Drama,Distant Thunder,11 Nov 1988,../dataset/images/tt0095036.jpg
tt0095275,"Biography, Drama, War",Hanna's War,21 Sep 1988,../dataset/images/tt0095275.jpg
tt0094907,Comedy,Consuming Passions,27 Mar 1992,../dataset/images/tt0094907.jpg
tt0096241,"Comedy, Drama",The Telephone,22 Jan 1988,../dataset/images/tt0096241.jpg
tt0094651,"Action, Horror, Thriller",Amsterdamned,25 Nov 1988,../dataset/images/tt0094651.jpg
tt0095047,Comedy,Doin' Time on Planet Earth,,../dataset/images/tt0095047.jpg
tt0095280,"Drama, Romance",Haunted Summer,07 Apr 1989,../dataset/images/tt0095280.jpg
tt0095903,"Comedy, Drama",The Prince of Pennsylvania,01 Oct 1988,../dataset/images/tt0095903.jpg
tt0100684,Comedy,State Park,30 Nov 1990,../dataset/images/tt0100684.jpg
tt0167260,"Adventure, Drama, Fantasy",The Lord of the Rings: The Return of the King,17 Dec 2003,../dataset/images/tt0167260.jpg
tt0266543,"Animation, Adventure, Comedy",Finding Nemo,30 May 2003,../dataset/images/tt0266543.jpg
tt0325980,"Action, Adventure, Fantasy",Pirates of the Caribbean: The Curse of the Black Pearl,09 Jul 2003,../dataset/images/tt0325980.jpg
tt0234215,"Action, Sci-Fi",The Matrix Reloaded,15 May 2003,../dataset/images/tt0234215.jpg
tt0315327,"Comedy, Drama, Fantasy",Bruce Almighty,23 May 2003,../dataset/images/tt0315327.jpg
tt0319343,"Comedy, Family, Fantasy",Elf,07 Nov 2003,../dataset/images/tt0319343.jpg
tt0181852,"Action, Sci-Fi",Terminator 3: Rise of the Machines,02 Jul 2003,../dataset/images/tt0181852.jpg
tt0242653,"Action, Sci-Fi",The Matrix Revolutions,05 Nov 2003,../dataset/images/tt0242653.jpg
tt0349205,"Comedy, Family",Cheaper by the Dozen,25 Dec 2003,../dataset/images/tt0349205.jpg
tt0172156,"Action, Comedy, Crime",Bad Boys II,18 Jul 2003,../dataset/images/tt0172156.jpg
tt0305224,Comedy,Anger Management,11 Apr 2003,../dataset/images/tt0305224.jpg
tt0305669,Comedy,Bringing Down the House,07 Mar 2003,../dataset/images/tt0305669.jpg
tt0286716,"Action, Sci-Fi",Hulk,20 Jun 2003,../dataset/images/tt0286716.jpg
tt0322259,"Action, Crime, Thriller",2 Fast 2 Furious,06 Jun 2003,../dataset/images/tt0322259.jpg
tt0337741,"Comedy, Drama, Romance",Something's Gotta Give,12 Dec 2003,../dataset/images/tt0337741.jpg
tt0329575,"Drama, History, Sport",Seabiscuit,25 Jul 2003,../dataset/images/tt0329575.jpg
tt0257076,"Action, Crime, Thriller",S.W.A.T.,08 Aug 2003,../dataset/images/tt0257076.jpg
tt0325710,"Action, Drama, History",The Last Samurai,05 Dec 2003,../dataset/images/tt0325710.jpg
tt0322330,"Comedy, Family, Fantasy",Freaky Friday,06 Aug 2003,../dataset/images/tt0322330.jpg
tt0306047,Comedy,Scary Movie 3,24 Oct 2003,../dataset/images/tt0306047.jpg
tt0317740,"Action, Crime, Thriller",The Italian Job,30 May 2003,../dataset/images/tt0317740.jpg
tt0251127,"Comedy, Romance",How to Lose a Guy in 10 Days,07 Feb 2003,../dataset/images/tt0251127.jpg
tt0328828,"Comedy, Romance",American Wedding,01 Aug 2003,../dataset/images/tt0328828.jpg
tt0317303,"Comedy, Family",Daddy Day Care,09 May 2003,../dataset/images/tt0317303.jpg
tt0287978,"Action, Crime, Thriller",Daredevil,14 Feb 2003,../dataset/images/tt0287978.jpg
tt0312528,"Adventure, Comedy, Family",The Cat in the Hat,21 Nov 2003,../dataset/images/tt0312528.jpg
tt0305357,"Action, Adventure, Comedy",Charlie's Angels: Full Throttle,27 Jun 2003,../dataset/images/tt0305357.jpg
tt0159365,"Drama, History, Romance",Cold Mountain,25 Dec 2003,../dataset/images/tt0159365.jpg
tt0311113,"Action, Adventure, Drama",Master and Commander: The Far Side of the World,14 Nov 2003,../dataset/images/tt0311113.jpg
tt0327056,"Crime, Drama, Mystery",Mystic River,15 Oct 2003,../dataset/images/tt0327056.jpg
tt0328880,"Animation, Adventure, Family",Brother Bear,01 Nov 2003,../dataset/images/tt0328880.jpg
tt0332379,"Comedy, Music",School of Rock,03 Oct 2003,../dataset/images/tt0332379.jpg
tt0324216,Horror,The Texas Chainsaw Massacre,17 Oct 2003,../dataset/images/tt0324216.jpg
tt0338094,"Comedy, Family, Fantasy",The Haunted Mansion,26 Nov 2003,../dataset/images/tt0338094.jpg
tt0302886,Comedy,Old School,21 Feb 2003,../dataset/images/tt0302886.jpg
tt0266697,Action,Kill Bill: Vol. 1,10 Oct 2003,../dataset/images/tt0266697.jpg
tt0311289,"Adventure, Comedy, Drama",Holes,18 Apr 2003,../dataset/images/tt0311289.jpg
tt0257568,"Action, Adventure, Comedy",Kangaroo Jack,17 Jan 2003,../dataset/images/tt0257568.jpg
tt0319061,"Adventure, Drama, Fantasy",Big Fish,09 Jan 2004,../dataset/images/tt0319061.jpg
tt0311429,"Action, Adventure, Fantasy",The League of Extraordinary Gentlemen,11 Jul 2003,../dataset/images/tt0311429.jpg
tt0325703,"Action, Adventure, Fantasy",Lara Croft Tomb Raider: The Cradle of Life,25 Jul 2003,../dataset/images/tt0325703.jpg
tt0304415,Drama,Mona Lisa Smile,19 Dec 2003,../dataset/images/tt0304415.jpg
tt0300471,"Action, Adventure, Comedy",Shanghai Knights,07 Feb 2003,../dataset/images/tt0300471.jpg
tt0307987,"Comedy, Crime, Drama",Bad Santa,26 Nov 2003,../dataset/images/tt0307987.jpg
tt0314331,"Comedy, Drama, Romance",Love Actually,14 Nov 2003,../dataset/images/tt0314331.jpg
tt0348836,"Horror, Thriller",Gothika,21 Nov 2003,../dataset/images/tt0348836.jpg
tt0316356,"Drama, Romance, Western",Open Range,15 Aug 2003,../dataset/images/tt0316356.jpg
tt0285823,"Action, Thriller",Once Upon a Time in Mexico,12 Sep 2003,../dataset/images/tt0285823.jpg
tt0305711,"Comedy, Romance",Just Married,10 Jan 2003,../dataset/images/tt0305711.jpg
tt0338337,"Action, Mystery, Sci-Fi",Paycheck,25 Dec 2003,../dataset/images/tt0338337.jpg
tt0292506,"Action, Crime, Drama",The Recruit,31 Jan 2003,../dataset/images/tt0292506.jpg
tt0316465,"Biography, Drama, Sport",Radio,24 Oct 2003,../dataset/images/tt0316465.jpg
tt0309698,"Mystery, Thriller",Identity,25 Apr 2003,../dataset/images/tt0309698.jpg
tt0320691,"Action, Fantasy",Underworld,19 Sep 2003,../dataset/images/tt0320691.jpg
tt0313542,"Drama, Thriller",Runaway Jury,17 Oct 2003,../dataset/images/tt0313542.jpg
tt0316396,"Adventure, Family, Fantasy",Peter Pan,25 Dec 2003,../dataset/images/tt0316396.jpg
tt0313911,"Action, Adventure, Comedy",Agent Cody Banks,14 Mar 2003,../dataset/images/tt0313911.jpg
tt0283426,"Adventure, Animation, Family",The Jungle Book 2,14 Feb 2003,../dataset/images/tt0283426.jpg
tt0327850,"Action, Adventure, Comedy",The Rundown,26 Sep 2003,../dataset/images/tt0327850.jpg
tt0309593,"Fantasy, Horror, Thriller",Final Destination 2,31 Jan 2003,../dataset/images/tt0309593.jpg
tt0335266,"Drama, Romance",Lost in Translation,03 Oct 2003,../dataset/images/tt0335266.jpg
tt0314353,"Action, Drama, Thriller",Tears of the Sun,07 Mar 2003,../dataset/images/tt0314353.jpg
tt0328589,"Comedy, Drama, Romance",Under the Tuscan Sun,26 Sep 2003,../dataset/images/tt0328589.jpg
tt0306841,"Adventure, Comedy, Family",The Lizzie McGuire Movie,02 May 2003,../dataset/images/tt0306841.jpg
tt0327137,"Comedy, Drama, Family",Secondhand Lions,19 Sep 2003,../dataset/images/tt0327137.jpg
tt0313443,"Crime, Drama, Thriller",Out of Time,03 Oct 2003,../dataset/images/tt0313443.jpg
tt0337711,"Animation, Adventure, Comedy",Rugrats Go Wild,13 Jun 2003,../dataset/images/tt0337711.jpg
tt0325537,Comedy,Head of State,28 Mar 2003,../dataset/images/tt0325537.jpg
tt0326900,"Comedy, Drama, Family",Good Boy!,10 Oct 2003,../dataset/images/tt0326900.jpg
